"","MD Thalamus - R2"
"ZNF134",0.98572916896856
"SEPT10",0.985714250801318
"OTX2",0.9857061439807
"CCDC115",0.985683052110549
"NUP205",0.985663774968698
"NOP56",0.985660076128405
"ZNF644",0.985653035982172
"HMGN2",0.98564596084753
"SFMBT2",0.985622086430131
"TAB3",0.985564120786604
"KIAA1147",0.985510609261356
"USP6NL",0.985478250525031
"ERI3",0.985464703700682
"AFAP1",0.985448452758481
"TIMM10",0.985389390801579
"PIM2",0.985333468819572
"HMGXB4",0.985221462755549
"IWS1",0.985211893632608
"EEPD1",0.985210959834177
"DFNA5",0.985129868372105
"GNPTAB",0.985052921203369
"RPL18A",0.985041727131708
"JOSD2",0.985004623113626
"UQCC1",0.985004003228464
"ZFHX4",0.984972412184384
"HSD11B1L",0.984934117215011
"PREX2",0.984877624452721
"ZNF641",0.984827226004692
"ZIC2",0.984815353061484
"RPL12",0.98479444052783
"RGS17",0.98477432816897
"PHF23",0.984737528154999
"ZNF512",0.984722489305111
"BDH1",0.984687598980715
"STK19",0.984628066794763
"MLLT4",0.984607288715144
"WASF3",0.984587261025962
"PIK3CA",0.984519030642724
"ACTG2",0.984517064538577
"ACAA1",0.984473769457597
"TNFAIP2",0.984468179487931
"ZNF770",0.984454101415726
"RRP1B",0.984436317580936
"SIRPA",0.984421109403768
"KRT19",0.984337421201521
"LDB3",0.984284002563277
"SHROOM1",0.984282331411721
"HINT2",0.984274913604095
"CNP",0.984259397173711
"UBALD1",0.984244227204929
"HNRNPAB",0.984225329293766
"EXOC6",0.984195185136484
"ERBB2IP",0.984155462235305
"NRIP1",0.984127591338572
"TRIM67",0.984109125208522
"ATAT1",0.984096925592642
"AMMECR1L",0.983949765147829
